District,Parish,Sub County
ABIM,ANINATA,ABIM
ABIM,AREMBWOLA,ABIM
ABIM,ATUNGA,ABIM
ABIM,KANU,ABIM
ABIM,KALAKALA,ABIM TOWN COUNCIL
ABIM,KIRU,ABIM TOWN COUNCIL
ABIM,OYARO,ABIM TOWN COUNCIL
ABIM,WIAWER,ABIM TOWN COUNCIL
ABIM,KOYA,ALEREK
ABIM,KULODWONG,ALEREK
ABIM,LOYOROIT,ALEREK
ABIM,OTUMPILI,ALEREK
ABIM,WILELA,ALEREK
ABIM,ACHANGALI,LOTUKEI
ABIM,ARIDAI,LOTUKEI
ABIM,AWACH,LOTUKEI
ABIM,BARLYECH,LOTUKEI
ABIM,GANGMING,LOTUKEI
ABIM,GOTAPWOU,LOTUKEI
ABIM,OPOROTH,LOTUKEI
ABIM,ORWAMUGE,LOTUKEI
ABIM,ADEA,MORULEM
ABIM,AKWANGAGWEL,MORULEM
ABIM,ANGOLEBWAL,MORULEM
ABIM,AREMO,MORULEM
ABIM,KATABOK EAST,MORULEM
ABIM,KATABOK WEST,MORULEM
ABIM,KOBULIN,NYAKWAE
ABIM,OPOPONGO,NYAKWAE
ABIM,ORETA,NYAKWAE
ABIM,PUPU-KAMUYA,NYAKWAE
ABIM,ROGOM,NYAKWAE
ADJUMANI,BIYAYA,ADJUMANI TOWN COUNCIL
ADJUMANI,CENTRAL,ADJUMANI TOWN COUNCIL
ADJUMANI,CESIA,ADJUMANI TOWN COUNCIL
ADJUMANI,ESIA,ADROPI
ADJUMANI,LAJOPI,ADROPI
ADJUMANI,OBILOKONGO,ADROPI
ADJUMANI,OPENZINZI,ADROPI
ADJUMANI,PALEMO,ADROPI
ADJUMANI,ARASI,ARINYAPI
ADJUMANI,ELEGU,ARINYAPI
ADJUMANI,ITUJU,ARINYAPI
ADJUMANI,LIRI,ARINYAPI
ADJUMANI,ZINYINI,ARINYAPI
ADJUMANI,AGOJO,CIFORO
ADJUMANI,LOA,CIFORO
ADJUMANI,MUGI,CIFORO
ADJUMANI,OKANGALI,CIFORO
ADJUMANI,OPEJO,CIFORO
ADJUMANI,ADIDI,DZAIPI
ADJUMANI,AJUGOPI,DZAIPI
ADJUMANI,LOGOANGWA,DZAIPI
ADJUMANI,MGBERE,DZAIPI
ADJUMANI,MINIKI,DZAIPI
ADJUMANI,BARATUKU,ITIRIKWA
ADJUMANI,ITIRIKWA,ITIRIKWA
ADJUMANI,KOLIDIDI,ITIRIKWA
ADJUMANI,MUNGULA,ITIRIKWA
ADJUMANI,ODU,ITIRIKWA
ADJUMANI,ZOKA,ITIRIKWA
ADJUMANI,BACERE,OFUA
ADJUMANI,ILINYI,OFUA
ADJUMANI,OFUA CENTRAL,OFUA
ADJUMANI,OPI,OFUA
ADJUMANI,SUBBE,OFUA
ADJUMANI,TIANYU,OFUA
ADJUMANI,ALERE,PACARA
ADJUMANI,JIHWA,PACARA
ADJUMANI,MARINDI,PACARA
ADJUMANI,OMI,PACARA
ADJUMANI,UNNA,PACARA
ADJUMANI,AYIRI,UKUSIJONI
ADJUMANI,GULINYA,UKUSIJONI
ADJUMANI,KIRABA,UKUSIJONI
ADJUMANI,MAAJI,UKUSIJONI
ADJUMANI,PAYARU,UKUSIJONI
AGAGO,KULAKA,ADILANG
AGAGO,LABWA,ADILANG
AGAGO,LALAL,ADILANG
AGAGO,LAPYEM,ADILANG
AGAGO,LIGILIGI,ADILANG
AGAGO,NGEKIDI,ADILANG
AGAGO,ORINA,ADILANG
AGAGO,AGAGO CENTRAL,AGAGO TOWN COUNCIL
AGAGO,AJAL,AGAGO TOWN COUNCIL
AGAGO,NGORA,AGAGO TOWN COUNCIL
AGAGO,PAMPARA,AGAGO TOWN COUNCIL
AGAGO,ACHOL-PII,ARUM
AGAGO,AGELEC,ARUM
AGAGO,ALELA,ARUM
AGAGO,KAZIKAZI,ARUM
AGAGO,AKADO,KALONGO TOWN COUNCIL
AGAGO,ALUPERE,KALONGO TOWN COUNCIL
AGAGO,KUBWOR,KALONGO TOWN COUNCIL
AGAGO,ORET,KALONGO TOWN COUNCIL
AGAGO,TOWN,KALONGO TOWN COUNCIL
AGAGO,APOBO,KOTOMOL
AGAGO,LUKEE,KOTOMOL
AGAGO,OGONG,KOTOMOL
AGAGO,OLYELO,KOTOMOL
AGAGO,OMATOWEE,KOTOMOL
AGAGO,OTEK,KOTOMOL
AGAGO,OJUR,LAMIYO
AGAGO,OTAKA,LAMIYO
AGAGO,PAICAM,LAMIYO
AGAGO,POLCANI,LAMIYO
AGAGO,AMYEL,LAPONO
AGAGO,KAKET,LAPONO
AGAGO,LAPONO MUK,LAPONO
AGAGO,LIRA-KATO,LAPONO
AGAGO,OGOLE,LAPONO
AGAGO,ADEMI,LIRA PALWO
AGAGO,AGENGO,LIRA PALWO
AGAGO,LANYIRINYIRI,LIRA PALWO
AGAGO,LUTOME,LIRA PALWO
AGAGO,OMONGO,LIRA PALWO
AGAGO,KITENY,LOKOLE
AGAGO,LADERE,LOKOLE
AGAGO,NGUDI,LOKOLE
AGAGO,NGWERO,LOKOLE
AGAGO,OLUNG,LOKOLE
AGAGO,OTUMPILI,LOKOLE
ALEBTONG,ALANYI,ABAKO
ALEBTONG,AMONONENO,ABAKO
ALEBTONG,ANGOLTOK,ABAKO
ALEBTONG,ANYIT,ABAKO
ALEBTONG,AWAOPING,ABAKO
ALEBTONG,ABANGAIMANY,ABIA
ALEBTONG,ABERIDWOGO,ABIA
ALEBTONG,ABIA,ABIA
ALEBTONG,ATINKOK,ABIA
ALEBTONG,OTENO,ABIA
ALEBTONG,TEKULU,ABIA
ALEBTONG,AKURA,AKURA
ALEBTONG,ANYANGA,AKURA
ALEBTONG,BARDAGO,AKURA
ALEBTONG,KAI,AKURA
ALEBTONG,OTWEOTOKE,AKURA
ALEBTONG,ALYEC,ALEBTONG TOWN COUNCIL
ALEBTONG,APADO,ALEBTONG TOWN COUNCIL
ALEBTONG,NAKABELA,ALEBTONG TOWN COUNCIL
ALEBTONG,AKWANGKEL,ALOI
ALEBTONG,ALAL,ALOI
ALEBTONG,ALEBTONG,ALOI
ALEBTONG,AMURIA,ALOI
ALEBTONG,ANARA,ALOI
ALEBTONG,AWIEPEK,ALOI
ALEBTONG,ABONGATIN,AMUGU
ALEBTONG,ABUNGA,AMUGU
ALEBTONG,AJONYI,AMUGU
ALEBTONG,OMEE,AMUGU
ALEBTONG,ABITING,APALA
ALEBTONG,AMONOMITO,APALA
ALEBTONG,OBIM,APALA
ALEBTONG,OKWANGOLE,APALA
ALEBTONG,OLAILONGO,APALA
ALEBTONG,ACEDE,AWEI
ALEBTONG,AWORI,AWEI
ALEBTONG,OJUL,AWEI
ALEBTONG,OLYET,AWEI
ALEBTONG,OWALO,AWEI
ALEBTONG,ABUKAMOLA,OMORO
ALEBTONG,ALOLOLOLO,OMORO
ALEBTONG,ANGETTA,OMORO
ALEBTONG,OCOKOBER,OMORO
ALEBTONG,OCULUKORI,OMORO
ALEBTONG,OMARARI,OMORO
AMOLATAR,ABARIKORI,AGIKDAK
AMOLATAR,AGIKDAK,AGIKDAK
AMOLATAR,ALOBOKWE,AGIKDAK
AMOLATAR,AWONANGIRO,AGIKDAK
AMOLATAR,AGWENONYWAL,AGWINGIRI
AMOLATAR,AGWINGIRI,AGWINGIRI
AMOLATAR,ALEMERE,AGWINGIRI
AMOLATAR,ALYECMEDA,AGWINGIRI
AMOLATAR,AMOLATAR,AGWINGIRI
AMOLATAR,NALUBWOYO,AGWINGIRI
AMOLATAR,ABALODYANG,AKWON
AMOLATAR,AKWON,AKWON
AMOLATAR,AROMI,AKWON
AMOLATAR,OKIJI,AKWON
AMOLATAR,ABURKOT WARD,AMOLATAR TOWN COUNCIL
AMOLATAR,AMIRIMIRI WARD,AMOLATAR TOWN COUNCIL
AMOLATAR,APALEPE WARD,AMOLATAR TOWN COUNCIL
AMOLATAR,EPYEL WARD,AMOLATAR TOWN COUNCIL
AMOLATAR,INOMO WARD,AMOLATAR TOWN COUNCIL
AMOLATAR,ADONYOIMO,APUTI
AMOLATAR,AKURILUBA,APUTI
AMOLATAR,AMAI,APUTI
AMOLATAR,ANYWALI,APUTI
AMOLATAR,OPALI,APUTI
AMOLATAR,OTIRA,APUTI
AMOLATAR,ABEJA,ARWOTCEK
AMOLATAR,ABURKIDI,ARWOTCEK
AMOLATAR,ABWONG,ARWOTCEK
AMOLATAR,AKOL,ARWOTCEK
AMOLATAR,ARWOTCEK,ARWOTCEK
AMOLATAR,OTANGOCINGE,ARWOTCEK
AMOLATAR,AKONGOMIT,AWELO
AMOLATAR,ANAMWANY,AWELO
AMOLATAR,ATERO,AWELO
AMOLATAR,ATOMORO,AWELO
AMOLATAR,ODYEDO,AWELO
AMOLATAR,ABWOCKWAR,ETAM
AMOLATAR,ANAMIDO,ETAM
AMOLATAR,ARWOT,ETAM
AMOLATAR,AWIODYEK,ETAM
AMOLATAR,CHAKWARA,ETAM
AMOLATAR,ETAM,ETAM
AMOLATAR,ABALER,MUNTU
AMOLATAR,KABANGALA,MUNTU
AMOLATAR,MUNTU,MUNTU
AMOLATAR,NAKATITI,MUNTU
AMOLATAR,ODYAK,MUNTU
AMUDAT,AMUDAT,AMUDAT
AMUDAT,KATABOK,AMUDAT
AMUDAT,LOBURIN,AMUDAT
AMUDAT,JUMBE,AMUDAT TOWN COUNCIL
AMUDAT,KALAS,AMUDAT TOWN COUNCIL
AMUDAT,LOCHENGENGE,AMUDAT TOWN COUNCIL
AMUDAT,TINGAS,AMUDAT TOWN COUNCIL
AMUDAT,KARITA,KARITA
AMUDAT,LOKALES,KARITA
AMUDAT,LOSIDOK,KARITA
AMUDAT,ABILIEP,LOROO
AMUDAT,ACHORICHOR,LOROO
AMUDAT,LOROO,LOROO
AMURIA,ARUTE,ABARILELA
AMURIA,ASILANG,ABARILELA
AMURIA,DODOS,ABARILELA
AMURIA,KATINE,ABARILELA
AMURIA,OCAL,ABARILELA
AMURIA,OLELAI,ABARILELA
AMURIA,AITA,AKERIAU
AMURIA,AKERIAU,AKERIAU
AMURIA,OKUDE,AKERIAU
AMURIA,OTUBET,AKERIAU
AMURIA,TEMELE,AKERIAU
AMURIA,AKISIM,AMURIA TOWN COUNCIL
AMURIA,ALIRA,AMURIA TOWN COUNCIL
AMURIA,EASTERN,AMURIA TOWN COUNCIL
AMURIA,OKUTOI,AMURIA TOWN COUNCIL
AMURIA,AJAKI,APEDURU
AMURIA,AMUCU,APEDURU
AMURIA,APEDURU,APEDURU
AMURIA,ODOON,APEDURU
AMURIA,OMARIAI,APEDURU
AMURIA,APARISA,ASAMUK
AMURIA,ASAMUK,ASAMUK
AMURIA,ASAMUK TOWN BOARD,ASAMUK
AMURIA,ATIRIR,ASAMUK
AMURIA,DOKOLO,ASAMUK
AMURIA,JOBUR,ASAMUK
AMURIA,OJANAI,ASAMUK
AMURIA,OLEKAI,ASAMUK
AMURIA,ABIA,KUJU
AMURIA,AGWARA,KUJU
AMURIA,AMILIMILI,KUJU
AMURIA,AMUSUS,KUJU
AMURIA,AOJAKITOI,KUJU
AMURIA,KUJU,KUJU
AMURIA,AWELU,MORUNGATUNY
AMURIA,AYOLA,MORUNGATUNY
AMURIA,MORUNGATUNY,MORUNGATUNY
AMURIA,OGANGAI,MORUNGATUNY
AMURIA,OJUKOT,MORUNGATUNY
AMURIA,OLWA,MORUNGATUNY
AMURIA,ABEKO,OGOLAI
AMURIA,AKORE,OGOLAI
AMURIA,OCOCIA,OGOLAI
AMURIA,ODEPE,OGOLAI
AMURIA,OGOLAI,OGOLAI
AMURIA,ADAKUN,ORUNGO
AMURIA,MORUINERA,ORUNGO
AMURIA,OGONGORA,ORUNGO
AMURIA,OMORATOK,ORUNGO
AMURIA,ORUNGO,ORUNGO
AMURIA,ORUNGO TOWN BOARD,ORUNGO
AMURIA,ACINGA,ACOWA
AMURIA,ACOWA,ACOWA
AMURIA,AKUM,ACOWA
AMURIA,AMERO,ACOWA
AMURIA,ANGOLEBWAL,ACOWA
AMURIA,AKORE,AKOROMIT
AMURIA,AKORE TOWN BOARD,AKOROMIT
AMURIA,AKOROMIT,AKOROMIT
AMURIA,AMINITO,AKOROMIT
AMURIA,ANGEREPO,AKOROMIT
AMURIA,KOBUIN,AKOROMIT
AMURIA,OLEKAT,AKOROMIT
AMURIA,AMASENIKO,KAPELEBYONG
AMURIA,AMEMIA,KAPELEBYONG
AMURIA,ATIIRA,KAPELEBYONG
AMURIA,KAPELEBYONG,KAPELEBYONG
AMURIA,KAPELEBYONG TOWN BOARD,KAPELEBYONG
AMURIA,NYADA,KAPELEBYONG
AMURIA,OKOBOI,KAPELEBYONG
AMURIA,AKILENG,OBALANGA
AMURIA,ALITO,OBALANGA
AMURIA,ALUPE,OBALANGA
AMURIA,LABIRA,OBALANGA
AMURIA,OBALANGA,OBALANGA
AMURIA,OBALANGA TOWN BOARD,OBALANGA
AMURIA,OPOT,OBALANGA
AMURIA,AGONGA,OKUNGUR
AMURIA,AIRABET,OKUNGUR
AMURIA,AKODOKODOI,OKUNGUR
AMURIA,AMOOTOM,OKUNGUR
AMURIA,ARIDAI,OKUNGUR
AMURIA,ODIDING,OKUNGUR
AMURU,ACWERA,AMURU
AMURU,OKUNGGEDI,AMURU
AMURU,PAGAK,AMURU
AMURU,PAILYEC,AMURU
AMURU,PAMUCA,AMURU
AMURU,TORO,AMURU
AMURU,AMOYOKOMA,AMURU TOWN COUNCIL
AMURU,LUJORO,AMURU TOWN COUNCIL
AMURU,OTWEE,AMURU TOWN COUNCIL
AMURU,POGI,AMURU TOWN COUNCIL
AMURU,BIBIA,ATTIAK
AMURU,KAL,ATTIAK
AMURU,OKIDI,ATTIAK
AMURU,PACILO,ATTIAK
AMURU,PALUKERE,ATTIAK
AMURU,PARWACA,ATTIAK
AMURU,PAWEL,ATTIAK
AMURU,PUPWONYA,ATTIAK
AMURU,AGWAYUGI,LAMOGI
AMURU,COKE,LAMOGI
AMURU,GIRAGIRA,LAMOGI
AMURU,GURUGURU,LAMOGI
AMURU,LACOR,LAMOGI
AMURU,OBBO,LAMOGI
AMURU,PAGORO,LAMOGI
AMURU,PALEMA,LAMOGI
AMURU,GAYA,PABO
AMURU,KAL,PABO
AMURU,LABALA,PABO
